Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Lorenzen	Mark		C	TX17	2024	1/29/2024	10056674
	Lythcott-Haims	Julie		C	CA16	2024	2/3/2024	10056518
	Lythcott-Haims	Julie		X	CA16	2024	2/7/2024	8220130
Hon.	Malliotakis	Nicole		P	NY11	2024	1/30/2024	8220119
Mr.	Mandel	Charles Scott		C	TX27	2024	2/3/2024	10056625
Mr.	Mandel	Charles Scott		X	TX27	2024	2/7/2024	8220131
Hon.	Manning	Kathy		P	NC06	2024	1/12/2024	20024231
Hon.	Manning	Kathy		P	NC06	2024	2/6/2024	20024436
Hon.	Manning	Kathy		P	NC06	2024	3/4/2024	20024604
	Marin	Grady		C	OH08	2024	2/23/2024	10056820
Hon.	Matsui	Doris O.		P	CA07	2024	1/26/2024	20024369
Hon.	McCarthy	Kevin		T	CA20	2024	1/24/2024	10056584
Hon.	McCaul	Michael T.		P	TX10	2024	2/13/2024	8220162
	McGowan	Angelynn Brooke		A	NC10	2024	1/18/2024	10056627
	McGowan	Angelynn Brooke		C	NC10	2024	1/17/2024	10056621
	McNeal	Justin Shad Mr		X	SD00	2024	1/23/2024	30019576
	Meeks Milojevich	Janai		C	CA01	2024	2/18/2024	10056796
	Mehta	Leslie		X	VA01	2024	1/23/2024	30019575
	Melendez	Jose E.		X	PR00	2024	2/9/2024	8220141
	Merrin	Derek		C	OH09	2024	2/18/2024	10056588
	Merrin	Derek		X	OH09	2024	1/29/2024	30019579
Hon.	Miller	Max		P	OH07	2024	1/26/2024	20024380
Hon.	Miller	Max		P	OH07	2024	2/9/2024	20024472
Hon.	Miller	Max		P	OH07	2024	2/16/2024	20024519
Hon.	Miller	Max		P	OH07	2024	3/18/2024	20024705
	Monhollen	Brandon		C	KY05	2024	2/2/2024	10056701
Hon.	Moore	Blake		P	UT01	2024	1/24/2024	20024354
Hon.	Moskowitz	Jared		P	FL23	2024	1/22/2024	20024286
	Moss	Richard		X	IN08	2024	2/21/2024	30019611
	Nichelson	Larry		D	CA11	2024	3/8/2024	40003615
